Frame #1 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #2 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #3 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #4 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #5 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #6 {'emotion': 'disgust', 'plausibility': 0.9778816000000001, 'belief': 0.6012544000000001}
Frame #7 {'emotion': 'disgust', 'plausibility': 0.9778816000000001, 'belief': 0.6012544000000001}
Frame #8 {'emotion': 'disgust', 'plausibility': 0.9778816000000001, 'belief': 0.6012544000000001}
Frame #9 {'emotion': 'disgust', 'plausibility': 0.9778816000000001, 'belief': 0.6012544000000001}
Frame #10 {'emotion': 'disgust', 'plausibility': 0.9778816000000001, 'belief': 0.6012544000000001}
Frame #11 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #12 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #13 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #14 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #15 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #16 {'emotion': 'joy', 'plausibility': 0.6164938976283421, 'belief': 0.39734363315793453}
Frame #17 {'emotion': 'joy', 'plausibility': 0.6164938976283421, 'belief': 0.39734363315793453}
Frame #18 {'emotion': 'joy', 'plausibility': 0.9173611940298513, 'belief': 0.7321910447761198}
Frame #19 {'emotion': 'joy', 'plausibility': 0.7367082208214804, 'belief': 0.5500395212511987}
Frame #20 {'emotion': 'fear', 'plausibility': 0.5664222549460949, 'belief': 0.34741307615421607}
Frame #21 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #22 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #23 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #24 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #25 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #26 {'emotion': 'neutral', 'plausibility': 0.7747046127144483, 'belief': 0}
Frame #27 {'emotion': 'joy', 'plausibility': 0.5603429325126409, 'belief': 0.3352385139591123}
Frame #28 {'emotion': 'joy', 'plausibility': 0.5603429325126409, 'belief': 0.3352385139591123}
Frame #29 {'emotion': 'joy', 'plausibility': 0.5603429325126409, 'belief': 0.3352385139591123}
Frame #30 {'emotion': 'neutral', 'plausibility': 0.7747046127144483, 'belief': 0}
Frame #31 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #32 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #33 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #34 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #35 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #36 {'emotion': 'joy', 'plausibility': 0.5603429325126409, 'belief': 0.3352385139591123}
Frame #37 {'emotion': 'neutral', 'plausibility': 0.41891530857600856, 'belief': 0.13678867218808446}
Frame #38 {'emotion': 'joy', 'plausibility': 0.6164938976283421, 'belief': 0.39734363315793453}
Frame #39 {'emotion': 'joy', 'plausibility': 0.6164938976283421, 'belief': 0.39734363315793453}
Frame #40 {'emotion': 'joy', 'plausibility': 0.6164938976283421, 'belief': 0.39734363315793453}
Frame #41 {'emotion': 'joy', 'plausibility': 0.6164938976283421, 'belief': 0.39734363315793453}
Frame #42 {'emotion': 'joy', 'plausibility': 0.6164938976283421, 'belief': 0.39734363315793453}
Frame #43 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #44 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #45 {'emotion': 'disgust', 'plausibility': 0.9778816000000001, 'belief': 0.6012544000000001}
Frame #46 {'emotion': 'disgust', 'plausibility': 0.9778816000000001, 'belief': 0.6012544000000001}
Frame #47 {'emotion': 'disgust', 'plausibility': 0.9778816000000001, 'belief': 0.6012544000000001}
Frame #48 {'emotion': 'disgust', 'plausibility': 0.9778816000000001, 'belief': 0.6012544000000001}
Frame #49 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #50 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #51 {'emotion': 'joy', 'plausibility': 0.6164938976283421, 'belief': 0.39734363315793453}
Frame #52 {'emotion': 'joy', 'plausibility': 0.6164938976283421, 'belief': 0.39734363315793453}
Frame #53 {'emotion': 'sorrow', 'plausibility': 0.9502336000000002, 'belief': 0.5828224000000001}
Frame #54 {'emotion': 'sorrow', 'plausibility': 0.9502336000000002, 'belief': 0.5828224000000001}
Frame #55 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #56 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #57 {'emotion': 'sorrow', 'plausibility': 0.9502336000000002, 'belief': 0.5828224000000001}
Frame #58 {'emotion': 'sorrow', 'plausibility': 0.9502336000000002, 'belief': 0.5828224000000001}
Frame #59 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #60 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
